date_inf,sum,mining,produce,supply,water
01.01.2019,103.2,85.0,106.6,102.0,91.6
01.02.2019,112.9,82.4,118.1,112.6,101.2
22.02.2019,98.6,88.2,98.3,105.7,104.3
29.03.2019,99.0,90.8,99.6,98.2,113.5
26.04.2019,106.5,90.6,109.5,99.1,112.0
31.05.2019,107.6,95.8,108.5,108.6,121.2
28.06.2019,105.8,87.8,106.1,117.4,139.3
26.07.2019,96.3,97.4,95.6,93.8,138.0
23.08.2019,96.7,91.4,99.2,77.6,120.1
27.09.2019,99.7,97.0,100.7,93.7,102.7
25.10.2019,94.9,106.2,96.5,74.5,101.9
29.11.2019,98.2,102.1,98.2,93.7,107.7
27.12.2019,96.0,83.8,96.0,101.8,105.1
01.02.2020,99.8,96.1,99.9,99.0,112.1
22.02.2020,96.1,86.9,97.7,90.6,108.8
29.03.2020,101.5,94.1,102.7,99.6,95.2
26.04.2020,89.8,88.3,90.6,84.6,100.8
31.05.2020,78.6,78.9,76.8,90.2,91.8
28.06.2020,78.5,79.9,77.7,80.1,96.8
26.07.2020,84.7,86.9,84.2,82.4,101.6
23.08.2020,93.7,99.4,92.0,103.1,97.4
27.09.2020,92.8,100.3,91.0,99.9,98.1
25.10.2020,105.3,90.0,105.7,116.9,105.5
29.11.2020,97.7,84.1,100.0,91.2,102.5
27.12.2020,102.4,107.0,102.1,101.9,99.0
01.02.2021,106.1,109.1,107.6,103.8,76.2
22.02.2021,102.0,103.9,100.0,112.3,95.0
29.03.2021,105.4,87.5,105.7,113.3,102.5
26.04.2021,106.9,84.4,105.9,128.4,101.0
31.05.2021,121.2,96.0,123.6,127.6,107.1
28.06.2021,117.2,102.1,117.4,129.5,111.6
26.07.2021,116.6,106.8,117.1,119.9,119.5
23.08.2021,102.0,102.8,100.5,110.7,110.4
27.09.2021,102.3,93.0,104.1,94.4,111.2
25.10.2021,92.1,102.8,91.1,86.3,121.0
29.11.2021,96.2,101.8,92.9,112.0,115.4
27.12.2021,103.4,105.4,99.2,126.3,104.0
01.02.2022,94.5,100.3,90.5,114.5,98.1
22.02.2022,91.2,77.5,91.0,100.9,87.4
29.03.2022,100.0,89.2,101.1,100.7,84.8
26.04.2022,92.9,85.2,93.5,94.6,83.9
31.05.2022,85.2,97.5,82.4,103.2,82.4
28.06.2022,78.7,94.9,76.6,87.7,74.6
26.07.2022,75.6,85.7,74.6,75.7,74.9
23.08.2022,73.3,74.2,72.5,81.0,74.5
27.09.2022,72.9,87.0,70.6,85.2,72.1
25.10.2022,77.3,85.7,75.5,93.4,69.7
29.11.2022,76.8,94.5,75.8,75.6,68.3
27.12.2022,71.3,70.1,72.7,63.3,69.4
01.02.2023,71.8,70.2,70.7,79.5,72.1
22.02.2023,81.9,89.6,82.0,74.5,104.4
29.03.2023,78.4,88.6,77.1,77.4,113.3
26.04.2023,83.8,123.7,81.1,81.1,105.5
31.05.2023,89.8,86.7,90.9,77.9,116.7
28.06.2023,95.5,84.8,97.2,85.9,110.1
26.07.2023,95.5,84.3,96.2,97.4,106.2
23.08.2023,99.5,92.1,99.8,100.4,109.5
27.09.2023,102.7,92.5,104.3,97.9,104.6
25.10.2023,104.2,102.4,105.6,92.8,102.1
