data,curs
31.10.2023,99
28.10.2023,98
27.10.2023,99
26.10.2023,99
25.10.2023,100
24.10.2023,100
21.10.2023,101
20.10.2023,103
19.10.2023,103
18.10.2023,103
17.10.2023,103
14.10.2023,103
13.10.2023,103
12.10.2023,106
11.10.2023,106
10.10.2023,107
07.10.2023,106
06.10.2023,105
05.10.2023,104
04.10.2023,104
03.10.2023,104
30.09.2023,103
29.09.2023,102
28.09.2023,102
27.09.2023,102
26.09.2023,102
23.09.2023,102
22.09.2023,102
21.09.2023,103
20.09.2023,103
19.09.2023,103
16.09.2023,103
15.09.2023,103
14.09.2023,103
13.09.2023,102
12.09.2023,104
09.09.2023,105
08.09.2023,105
07.09.2023,105
06.09.2023,105
05.09.2023,104
02.09.2023,105
01.09.2023,105
31.08.2023,104
30.08.2023,103
29.08.2023,103
26.08.2023,102
25.08.2023,102
24.08.2023,102
23.08.2023,103
22.08.2023,103
19.08.2023,101
18.08.2023,102
17.08.2023,106
16.08.2023,107
15.08.2023,111
12.08.2023,108
11.08.2023,107
10.08.2023,107
09.08.2023,105
08.08.2023,106
05.08.2023,104
04.08.2023,103
03.08.2023,102
02.08.2023,101
01.08.2023,101
29.07.2023,100
28.07.2023,100
27.07.2023,100
26.07.2023,100
25.07.2023,100
22.07.2023,101
21.07.2023,102
20.07.2023,102
19.07.2023,102
18.07.2023,102
15.07.2023,101
14.07.2023,101
13.07.2023,100
12.07.2023,100
11.07.2023,100
08.07.2023,100
07.07.2023,101
06.07.2023,98
05.07.2023,98
04.07.2023,97
01.07.2023,96
30.06.2023,95
29.06.2023,94
28.06.2023,93
27.06.2023,92
24.06.2023,91
23.06.2023,92
22.06.2023,92
21.06.2023,92
20.06.2023,92
17.06.2023,92
16.06.2023,91
15.06.2023,91
14.06.2023,90
10.06.2023,89
09.06.2023,88
08.06.2023,87
07.06.2023,87
06.06.2023,87
03.06.2023,87
02.06.2023,87
01.06.2023,87
31.05.2023,87
30.05.2023,86
27.05.2023,86
26.05.2023,86
25.05.2023,86
24.05.2023,87
23.05.2023,86
20.05.2023,86
19.05.2023,86
18.05.2023,88
17.05.2023,87
16.05.2023,86
13.05.2023,84
12.05.2023,83
11.05.2023,84
06.05.2023,85
05.05.2023,87
04.05.2023,88
03.05.2023,88
29.04.2023,88
28.04.2023,90
27.04.2023,90
26.04.2023,90
25.04.2023,89
22.04.2023,89
21.04.2023,89
20.04.2023,89
19.04.2023,90
18.04.2023,90
15.04.2023,90
14.04.2023,90
13.04.2023,90
12.04.2023,90
11.04.2023,89
08.04.2023,90
07.04.2023,88
06.04.2023,87
05.04.2023,87
04.04.2023,85
01.04.2023,84
31.03.2023,84
30.03.2023,83
29.03.2023,83
28.03.2023,82
25.03.2023,82
24.03.2023,83
23.03.2023,83
22.03.2023,83
21.03.2023,82
18.03.2023,81
17.03.2023,81
16.03.2023,81
15.03.2023,81
14.03.2023,81
11.03.2023,80
10.03.2023,80
08.03.2023,81
07.03.2023,80
04.03.2023,80
03.03.2023,80
02.03.2023,80
01.03.2023,80
28.02.2023,80
23.02.2023,80
22.02.2023,80
21.02.2023,79
18.02.2023,80
17.02.2023,80
16.02.2023,80
15.02.2023,79
14.02.2023,79
11.02.2023,78
10.02.2023,78
09.02.2023,77
08.02.2023,76
07.02.2023,76
04.02.2023,77
03.02.2023,77
02.02.2023,76
01.02.2023,76
31.01.2023,76
28.01.2023,75
27.01.2023,75
26.01.2023,75
25.01.2023,75
24.01.2023,75
21.01.2023,74
20.01.2023,74
19.01.2023,75
18.01.2023,74
17.01.2023,74
14.01.2023,73
13.01.2023,73
12.01.2023,74
11.01.2023,75
10.01.2023,75
31.12.2022,76
30.12.2022,76
29.12.2022,76
28.12.2022,74
27.12.2022,73
24.12.2022,73
23.12.2022,77
22.12.2022,75
21.12.2022,73
20.12.2022,71
17.12.2022,69
16.12.2022,68
15.12.2022,67
14.12.2022,67
13.12.2022,66
10.12.2022,66
09.12.2022,66
08.12.2022,66
07.12.2022,66
06.12.2022,66
03.12.2022,65
02.12.2022,64
01.12.2022,63
30.11.2022,63
29.11.2022,63
26.11.2022,63
25.11.2022,63
24.11.2022,62
23.11.2022,62
22.11.2022,62
19.11.2022,62
18.11.2022,63
17.11.2022,63
16.11.2022,63
15.11.2022,62
12.11.2022,62
11.11.2022,61
10.11.2022,61
09.11.2022,61
08.11.2022,61
04.11.2022,61
03.11.2022,61
02.11.2022,61
01.11.2022,61
29.10.2022,61
28.10.2022,62
27.10.2022,62
26.10.2022,60
25.10.2022,60
22.10.2022,60
21.10.2022,60
20.10.2022,60
19.10.2022,61
18.10.2022,61
15.10.2022,62
14.10.2022,63
13.10.2022,63
12.10.2022,62
11.10.2022,61
08.10.2022,60
07.10.2022,58
06.10.2022,58
05.10.2022,56
04.10.2022,54
01.10.2022,53
30.09.2022,55
29.09.2022,56
28.09.2022,56
27.09.2022,56
24.09.2022,56
23.09.2022,59
22.09.2022,60
21.09.2022,60
20.09.2022,60
17.09.2022,60
16.09.2022,60
15.09.2022,60
14.09.2022,61
13.09.2022,61
10.09.2022,61
09.09.2022,61
08.09.2022,61
07.09.2022,60
06.09.2022,60
03.09.2022,60
02.09.2022,60
01.09.2022,60
31.08.2022,61
30.08.2022,60
27.08.2022,60
26.08.2022,60
25.08.2022,60
24.08.2022,59
23.08.2022,60
20.08.2022,59
19.08.2022,61
18.08.2022,62
17.08.2022,62
16.08.2022,63
13.08.2022,63
12.08.2022,63
11.08.2022,62
10.08.2022,62
09.08.2022,61
06.08.2022,61
05.08.2022,61
04.08.2022,61
03.08.2022,61
02.08.2022,63
30.07.2022,63
29.07.2022,61
28.07.2022,61
27.07.2022,59
26.07.2022,59
23.07.2022,58
22.07.2022,57
21.07.2022,56
20.07.2022,56
19.07.2022,57
16.07.2022,58
15.07.2022,58
14.07.2022,59
13.07.2022,59
12.07.2022,62
09.07.2022,62
08.07.2022,64
07.07.2022,64
06.07.2022,60
05.07.2022,57
02.07.2022,56
01.07.2022,55
30.06.2022,54
29.06.2022,56
28.06.2022,56
25.06.2022,56
24.06.2022,56
23.06.2022,56
22.06.2022,57
21.06.2022,59
18.06.2022,59
17.06.2022,59
16.06.2022,59
15.06.2022,59
11.06.2022,61
10.06.2022,62
09.06.2022,64
08.06.2022,65
07.06.2022,65
04.06.2022,66
03.06.2022,65
02.06.2022,64
01.06.2022,63
31.05.2022,65
28.05.2022,69
27.05.2022,64
26.05.2022,58
25.05.2022,59
24.05.2022,60
21.05.2022,61
20.05.2022,65
19.05.2022,67
18.05.2022,66
17.05.2022,66
14.05.2022,66
13.05.2022,69
12.05.2022,73
07.05.2022,71
06.05.2022,70
05.05.2022,73
30.04.2022,75
29.04.2022,75
28.04.2022,76
27.04.2022,77
26.04.2022,77
23.04.2022,80
22.04.2022,81
21.04.2022,83
20.04.2022,86
19.04.2022,86
16.04.2022,87
15.04.2022,88
14.04.2022,87
13.04.2022,87
12.04.2022,86
09.04.2022,82
08.04.2022,83
07.04.2022,91
06.04.2022,92
05.04.2022,92
02.04.2022,92
01.04.2022,92
31.03.2022,94
30.03.2022,96
29.03.2022,103
26.03.2022,105
25.03.2022,105
24.03.2022,113
23.03.2022,115
22.03.2022,116
19.03.2022,114
18.03.2022,116
17.03.2022,119
16.03.2022,122
15.03.2022,127
12.03.2022,129
11.03.2022,133
10.03.2022,126
06.03.2022,116
05.03.2022,117
04.03.2022,124
03.03.2022,115
02.03.2022,103
01.03.2022,104
26.02.2022,94
25.02.2022,98
23.02.2022,91
22.02.2022,87
19.02.2022,86
18.02.2022,86
17.02.2022,85
16.02.2022,86
15.02.2022,87
12.02.2022,85
11.02.2022,85
10.02.2022,85
09.02.2022,86
08.02.2022,87
05.02.2022,87
04.02.2022,87
03.02.2022,86
02.02.2022,87
01.02.2022,87
29.01.2022,87
28.01.2022,88
27.01.2022,89
26.01.2022,89
25.01.2022,88
22.01.2022,87
21.01.2022,87
20.01.2022,87
19.01.2022,87
18.01.2022,87
15.01.2022,87
14.01.2022,85
13.01.2022,85
12.01.2022,85
11.01.2022,85
31.12.2021,84
30.12.2021,83
29.12.2021,83
28.12.2021,83
25.12.2021,83
24.12.2021,83
23.12.2021,83
22.12.2021,83
21.12.2021,84
18.12.2021,84
17.12.2021,83
16.12.2021,83
15.12.2021,83
14.12.2021,83
11.12.2021,83
10.12.2021,83
09.12.2021,83
08.12.2021,84
07.12.2021,83
04.12.2021,83
03.12.2021,84
02.12.2021,84
01.12.2021,85
30.11.2021,84
27.11.2021,85
26.11.2021,84
25.11.2021,84
24.11.2021,84
23.11.2021,83
20.11.2021,83
19.11.2021,82
18.11.2021,82
17.11.2021,83
16.11.2021,83
13.11.2021,82
12.11.2021,82
11.11.2021,82
10.11.2021,83
