iter	RMSE	MAE
0	89.29088017	70.68707125
1	78.80660811	61.5216963
2	69.14284219	53.46249842
3	61.57174578	46.97730252
4	55.30478497	41.67763065
5	50.25156031	37.35671133
6	45.67441083	33.6424249
7	41.73884549	30.48959766
8	38.61885705	28.0172515
9	36.04650128	26.00219266
10	33.63613031	24.19014354
11	31.37325872	22.54172745
12	29.52621693	21.16341741
13	27.91366955	19.98591014
14	26.58677356	19.05568812
15	25.38569928	18.20815373
16	24.46411927	17.52830328
17	23.5899275	16.92372414
18	22.66808034	16.32433553
19	22.022934	15.90553127
20	21.41657309	15.47338629
21	20.99196878	15.15617551
22	20.49472113	14.81433111
23	20.19237301	14.58772958
24	19.87212655	14.34369784
25	19.61418171	14.1586576
26	19.44369311	14.00948548
27	19.20826121	13.86214244
28	18.97268599	13.67616028
29	18.84762871	13.57723848
30	18.7253035	13.47508637
31	18.60686094	13.37549471
32	18.43715787	13.22608496
33	18.26625135	13.07874655
34	18.13287718	12.96986567
35	18.04032346	12.88339904
36	17.89190448	12.7869278
37	17.78314874	12.69474075
38	17.69706251	12.62502883
39	17.62970894	12.5649116
40	17.57780015	12.5184467
41	17.39411678	12.36387946
42	17.29874489	12.29569779
43	17.21934727	12.21683359
44	17.15401348	12.15266242
45	17.07362788	12.08001737
46	17.01260554	12.02485242
47	16.95747193	11.98051978
48	16.89207749	11.92424733
49	16.86118389	11.89656453
50	16.82851959	11.87110406
51	16.63486587	11.73898551
52	16.55220558	11.68919619
53	16.3088072	11.54518887
54	16.21819056	11.48452124
55	16.13257049	11.42085571
56	15.97460292	11.31550332
57	15.8764657	11.24021055
58	15.78900697	11.16952333
59	15.72444337	11.11634346
60	15.66240435	11.06164506
61	15.56038339	10.98463542
62	15.51470016	10.94660471
63	15.41237509	10.88286637
64	15.38697971	10.85990587
65	15.332507	10.81163093
66	15.28251147	10.7674942
67	15.24000512	10.72478353
68	15.16909676	10.67189897
69	15.13237727	10.63697664
70	15.08880473	10.6015969
71	15.02323916	10.54200093
72	14.98007236	10.5125384
73	14.81726893	10.40959204
74	14.76899576	10.3647856
75	14.72978381	10.33699613
76	14.6954476	10.30664435
77	14.6513154	10.27378611
78	14.59966053	10.22962019
79	14.57022803	10.20279599
80	14.52897406	10.16667161
81	14.49122194	10.13778414
82	14.43032059	10.0995562
83	14.3917584	10.06891095
84	14.34951711	10.03150829
