iter	Passed	Remaining
0	111	11087
1	140	6873
2	168	5463
3	194	4664
4	221	4200
5	241	3786
6	280	3730
7	310	3566
8	341	349	39	392	3510	10	410	3311	11	437	3212	480	3212
13	525	3230
14	580	3289
15	663	3482
16	698	3409
17	755	3440
18	823	3509
19	883	3533
20	930	3502
21	959	3402
22	1003	3358
23	1030	3262
24	1069	3209
25	1122	3193
26	1173	3173
27	1193	3067
28	1223	2996
29	1257	2935
30	1279	2847
31	1334	2836
32	1385	2813
33	1415	2747
34	1443	2679
35	1512	2689
36	1549	2638
37	1578	2575
38	1632	2553
39	1695	2542
40	1726	2484
41	1752	2420
42	1810	2399
43	1851	2356
44	1894	2315
45	1931	2267
46	1973	2225
47	2021	2190
48	2049	2133
49	2097	2097
50	2130	2046
51	2150	1984
52	2286	2027
53	2328	1983
54	2369	1938
55	2413	1896
56	2477	1869
57	2540	1839
58	2566	1783
59	2620	1746
60	2660	1701
61	2690	1649
62	2730	1603
63	2749	1546
64	2785	1500
65	2816	1450
66	2885	1421
67	2913	1371
68	2944	1322
69	2979	1277
70	3017	1232
71	3064	1191
72	3089	1142
73	3149	1106
74	3197	1065
75	3227	1019
76	3275	978
77	3304	932
78	3326	884
79	3391	847
80	3413	800
81	3457	759
82	3509	718
83	3602	686
84	3661	646
85	3681	599
86	3710	554
87	3769	514
88	3790	468
89	3805	422
90	3823	378
91	3841	334
92	3876	291
93	3900	248
94	3923	206
95	3938	164
96	3972	122
97	4006	81
98	4026	40
99	4067	0
