Восход;Зенит;Закат;Долгота дня;;Начало астрономических сумерек;Начало навигационных сумерек;Начало гражданских сумерек;Конец гражданских сумерек;Конец навигационных сумерек;Конец астрономических сумерек
01.01;09:02;12:42;16:22;07:19:58;+1:14;06:46;07:30;08:17;17:07;17:54;18:37
02.01;09:02;12:42;16:23;07:21:19;+1:21;06:46;07:30;08:17;17:08;17:54;18:38
03.01;09:01;12:43;16:24;07:22:46;+1:27;06:46;07:30;08:17;17:09;17:55;18:39
04.01;09:01;12:43;16:25;07:24:21;+1:35;06:46;07:30;08:17;17:10;17:57;18:40
05.01;09:01;12:44;16:27;07:26:03;+1:42;06:46;07:30;08:17;17:11;17:58;18:41
06.01;09:00;12:44;16:28;07:27:51;+1:48;06:46;07:30;08:16;17:12;17:59;18:42
07.01;09:00;12:45;16:30;07:29:46;+1:55;06:46;07:29;08:16;17:13;18:00;18:44
08.01;08:59;12:45;16:31;07:31:48;+2:02;06:45;07:29;08:15;17:15;18:01;18:45
09.01;08:59;12:45;16:32;07:33:56;+2:08;06:45;07:29;08:15;17:16;18:02;18:46
10.01;08:58;12:46;16:34;07:36:09;+2:13;06:45;07:28;08:14;17:17;18:04;18:47
11.01;08:57;12:46;16:36;07:38:29;+2:20;06:44;07:28;08:14;17:19;18:05;18:48
12.01;08:56;12:47;16:37;07:40:54;+2:25;06:44;07:27;08:13;17:20;18:06;18:50
13.01;08:55;12:47;16:39;07:43:26;+2:32;06:43;07:26;08:12;17:22;18:08;18:51
14.01;08:54;12:47;16:40;07:46:03;+2:37;06:43;07:26;08:12;17:23;18:09;18:52
15.01;08:53;12:48;16:42;07:48:45;+2:42;06:42;07:25;08:11;17:25;18:10;18:54
16.01;08:52;12:48;16:44;07:51:33;+2:48;06:41;07:24;08:10;17:26;18:12;18:55
17.01;08:51;12:48;16:46;07:54:24;+2:51;06:40;07:24;08:09;17:28;18:13;18:56
18.01;08:50;12:49;16:48;07:57:22;+2:58;06:40;07:23;08:08;17:30;18:15;18:58
19.01;08:49;12:49;16:49;08:00:23;+3:01;06:39;07:22;08:07;17:31;18:16;18:59
20.01;08:48;12:49;16:51;08:03:30;+3:07;06:38;07:21;08:06;17:33;18:18;19:01
21.01;08:46;12:50;16:53;08:06:40;+3:10;06:37;07:20;08:05;17:35;18:20;19:02
22.01;08:45;12:50;16:55;08:09:55;+3:15;06:36;07:19;08:04;17:36;18:21;19:04
23.01;08:44;12:50;16:57;08:13:14;+3:19;06:35;07:18;08:02;17:38;18:23;19:05
24.01;08:42;12:51;16:59;08:16:36;+3:22;06:34;07:17;08:01;17:40;18:24;19:07
25.01;08:41;12:51;17:01;08:20:02;+3:26;06:33;07:16;08:00;17:42;18:26;19:09
26.01;08:39;12:51;17:03;08:23:32;+3:30;06:32;07:14;07:59;17:44;18:28;19:10
27.01;08:38;12:51;17:05;08:27:05;+3:33;06:31;07:13;07:57;17:45;18:30;19:12
28.01;08:36;12:52;17:07;08:30:42;+3:37;06:29;07:12;07:56;17:47;18:31;19:14
29.01;08:35;12:52;17:09;08:34:21;+3:39;06:28;07:10;07:54;17:49;18:33;19:15
30.01;08:33;12:52;17:11;08:38:03;+3:42;06:27;07:09;07:53;17:51;18:35;19:17
31.01;08:31;12:52;17:13;08:41:50;+3:47;06:26;07:08;07:51;17:53;18:36;19:19
01.02;08:29;12:52;17:15;08:45:37;+3:47;06:24;07:06;07:50;17:55;18:38;19:20
02.02;08:28;12:52;17:17;08:49:28;+3:51;06:23;07:05;07:48;17:57;18:40;19:22
03.02;08:26;12:53;17:19;08:53:21;+3:53;06:21;07:03;07:47;17:59;18:42;19:24
04.02;08:24;12:53;17:21;08:57:16;+3:55;06:20;07:02;07:45;18:00;18:44;19:26
05.02;08:22;12:53;17:23;09:01:14;+3:58;06:18;07:00;07:43;18:02;18:45;19:27
