name_adress,house_flat,sqrt_m,number_date,,
"8-этажный 112-квартирный (проч.матер.) дом ул. Володарского, д. 4 «д» (ГП № 6)
ООО «Эко-Город» ЭКОНОМ",1/112,4 949,"№39-RU39301000-062-2017 от 29.12.2018    ",,
"7-этажный 42-квартирный (проч.матер.) дом ул. Космонавта Пацаева, д. 6 «а» 
ООО «Инстрой» ",1/42,3 930,"№39-RU39301000-090-2018 от 27.12.2018    ",,
"3-этажный 12-квартирный (проч.матер.) дом проезд Андреевский 1-й, д. 9 
ООО «Ласточкино гнездо» ЭКОНОМ",1/12,676,"№39-RU39301000-359-2016 от 29.12.2018    ",,
"5-этажный 24-квартирный (проч.матер.) дом ул. Лесопарковая, д. 39 
ООО «Стройиндустрия» ",1/24,1 889,"№39-RU39301000-327-2016 от 29.12.2018    ",,
"8-этажный 155-квартирный (проч.матер.) дом ул. Куйбышева, д. 68 
ООО «Жилье для Вас» ",1/155,10 786,"№39-RU39301000-151-2016 от 29.01.2019    ",,
"14-этажный 102-квартирный (проч.матер.) дом ул. 9 Апреля, д. 86 «а» 
ООО «Балтийская Инженерно-Строительная Компания» ",1/102,7 377,"№39-RU39301000-246-2015 от 31.01.2019    ",,
"10-этажный 54-квартирный (кирпич) дом ул. П. Панина, д. 12 (ГП № 9)
ООО «АЛКОМ» ЭКОНОМ",1/54,3 381,"№39-RU39301000-286-2016 от 01.02.2019    ",,
"10-этажный 81-квартирный (кирпич) дом ул. П. Панина, д. 10 (ГП № 10)
ООО «АЛКОМ» ЭКОНОМ",1/81,5 038,,,
"6-этажный 24-квартирный (проч.матер.) дом ул. Космонавта Леонова, д. 60 «б»
ООО «ДОМ НА ЛЕОНОВА» ЭКОНОМ",1/24,1 272,"№39-RU39301000-068-2018 от 05.02.2019    ",,
"11-этажный 100-квартирный (проч.матер.) дом ул. Генерала Толстикова, д. 2 «а»
ООО «Феникс» ЭКОНОМ",1/100,3 523,"№39-RU39301000-205-2017 от 20.02.2019    ",,
"10-этажный 155-квартирный (проч.матер.) дом ул. Согласия, д. 46 (ГП № 1)
ООО «УКС» ЭКОНОМ",1/155,8 018,"№39-RU39301000-305-2016 от 20.02.2019    ",,
"15-этажный 237-квартирный (проч.матер.) дом ул. Ст. Дадаева, д. 68 (ГП № 2)
ООО «Методика» ",1/237,13 629,"№39-RU39301000-149-2015 от 20.03.2019    ",,
"5-этажный 57-квартирный (кирпич) дом ул. Стрелецкая, д. 21 «а» (ГП № 1)
ООО «Легион» ",1/57,3 493,"№39-RU39301000-237-2016 от 20.03.2019    ",,
"10-этажный 162-квартирный (железобетон) дом ул. Дзержинского, д. 174 (ГП № 2)
ООО «УКС» ЭКОНОМ",1/162,7 724,"№39-RU39301000-295-2016 от 20.03.2019    ",,
"4-этажный 20-квартирный (проч.матер.) дом ул. Ломоносова, д. 93
Матвеевой О.В. Есипову Р.А. ЭКОНОМ",1/20,994,"№39-RU39301000-372-2018 от 21.03.2019    ",,
"3-этажный 9-квартирный (проч.матер.) дом ул. Шахматная, д. 1 «б» 
Мнацаканова Э.Э. ЭКОНОМ",1/9,468,"№39-RU39301000-141-2018 от 28.03.2019    ",,
"9-этажный 96-квартирный (кирпич) дом ул. Челюскинская, д. 28 (ГП № 4)
ООО «Западстройинвест» ЭКОНОМ",1/96,6 811,"№39-RU39301000-169-2014 от 10.04.2019    ",,
"10-этажный 72-квартирный (железобетон) дом ул. Черниговская, д. 19 «а» (ГП № 1)
ООО «СЗ «КПД Монтаж» ЭКОНОМ",1/72,3 827,"№39-RU39301000-309-2018 от 18.04.2019    ",,
"11-этажный 226-квартирный (камень) дом ул. Юбилейная, д. 10
ООО «Февраль-строй» ",1/226,14 031,"№39-RU39301000-206-2018 от 27.05.2019    ",,
"11-этажный 162-квартирный кирпич) дом ул. Малоярославская, д. 6 (ГП № 1)
ООО «Хаус-мастер» ЭКОНОМ",1/162,8 778,"№39-RU39301000-245-2015 от 16.05.2019    ",,
"6-этажный 60-квартирный (проч.мат.) дом ул. А. Невского, д. 261 (ГП № 3)
ООО «Промстрой» ЭКОНОМ",1/60,2 533,"№39-RU39301000-210-2017 от 14.06.2019    ",,
"6-этажный 60-квартирный (проч.мат.) дом ул. А. Невского, д. 259 (ГП № 4)
ООО «Промстрой» ЭКОНОМ",1/60,2 542,,,
"11-этажный 166-квартирный (блок) дом ул. Артиллерийская, д. 34
ООО «Калипсострой» ЭКОНОМ",1/295,16 550,"№39-RU39301000-274-2016 от 20.06.2019    ",,
"9-этажный 103-квартирный (кирпич) дом ул. Свердлова, д. 30 (ГП № 1)
ООО «КС-Недвижимость» ЭКОНОМ",1/103,5 624,"№39-RU39301000-076-2016 от 26.06.2019    ",,
"9-этажный 144-квартирный (кирпич) дом ул. Свердлова, д. 28 (ГП № 2)
ООО «КС-Недвижимость» ЭКОНОМ",1/144,7 255,,,
"8-этажный 54-квартирный (проч.мат) дом ул. Володарского, д. 4 (ГП № 1)
ООО «Эко-Город» ЭКОНОМ",1/54,2 885,"№39-RU39301000-057-2017 от 02.07.2019    ",,
"8-этажный 112-квартирный (проч.мат) дом ул. Володарского, д. 4 «а» (ГП № 2)
ООО «Эко-Город» ЭКОНОМ",1/112,4 946,"№39-RU39301000-058-2017 от 02.07.2019    ",,
"8-этажный 112-квартирный (проч.мат) дом ул. Володарского, д. 4 «б» (ГП № 3)
ООО «Эко-Город» ЭКОНОМ",1/112,4 957,"№39-RU39301000-059-2017 от 02.07.2019    ",,
"8-этажный 84-квартирный (проч.мат) дом ул. Володарского, д. 4 «в» (ГП № 4)
ООО «Эко-Город» ЭКОНОМ",1/84,3 716,"№39-RU39301000-060-2017 от 02.07.2019    ",,
"3-этажный 15-квартирный (проч.мат) дом ул. Левитана, д. 16 (ГП № 12)
ООО «Модуль-Запад» ЭКОНОМ",1/15,711,"№39-RU39301000-357-2016 от 04.07.2019    ",,
"4-этажный 48-квартирный (проч.мат) дом ул. Сержанта Мишина, д. 68 «а» (ГП № 3)
ООО «Интер Инвест» ЭКОНОМ",1/48,1 938,"№39-RU39301000-121-2019 от 17.07.2019    ",,
"10-этажный 72-квартирный (железобетон) дом ул. Черниговская, д. 19 «б» (ГП № 2)
ООО «КПД Монтаж» ЭКОНОМ",1/72,3 828,"№39-RU39301000-310-2018 от 18.07.2019    ",,
"10-этажный 122-квартирный (проч.мат) дом пер. Рассветный, д. 3 (ГП № 2)
ООО «УКС» ЭКОНОМ",1/122,6 276,"№39-RU39301000-306-2016 от 23.07.2019    ",,
"6-этажный 25-квартирный (проч.мат) дом ул. Красносельская
ООО «Престиж Строй» ЭКОНОМ",1/25,1 874,"№39-RU39301000-308-2016 от 25.07.2019    ",,
"6-этажный 60-квартирный (проч.мат) дом ул. Орудийная, д. 13
ООО «Астория» ЭКОНОМ",1/60,3 178,"№39-RU39301000-178-2016 от 25.07.2019    ",,
"8-этажный 102-квартирный (проч.мат) дом ул. Тенистая аллея, д. 33
ООО «Паркплэйс» ЭКОНОМ",1/102,6 757,"№39-RU39301000-286-2018 от 05.08.2019    ",,
"9-этажный 32-квартирный (кирпич) дом ул. Карташева, д. 46 «в» (ГП № 4)
ООО «Стройпрогресс-Инвест» ЭКОНОМ",1/32,1 673,"№39-RU39301000-191-2018 от 05.08.2019    ",,
"9-этажный 64-квартирный (кирпич) дом ул. Карташева, д. 46 «б» (ГП № 3)
ООО «Стройпрогресс-Инвест» ЭКОНОМ",1/64,3 488,"№39-RU39301000-190-2018 от 05.08.2019    ",,
"10-этажный 62-квартирный (проч.мат) дом б-р Любови Шевцовой, д. 51
ООО «Талион» ЭКОНОМ",1/62,3 195,"№39-RU39301000-267-2016 от 07.08.2019    ",,
"11-этажный 150-квартирный (проч.мат) дом ул. Генерала Толстикова, д. 2 «б»
ООО «Феникс» ЭКОНОМ",1/150,6 862,"№39-RU39301000-204-2017 от 09.08.2019    ",,
"6-этажный 39-квартирный (кирпич) дом ул. Ватутина, д. 22
ООО «Финбалт» ЭКОНОМ",1/39,2 897,"№39-RU39301000-325-2016 от 14.08.2019    ",,
"5-этажный 44-квартирный (проч.мат) дом пер. Лукашова, д. 12 (ГП № 1)
ООО «Петрострой» ЭКОНОМ",1/44,2 652,"№39-RU39301000-239-2018 от 14.08.2019    ",,
"17-этажный 143-квартирный (проч.мат) дом ул. 9 Апреля, д. 88 «а»
ООО «Евростройком» ЭКОНОМ",1/143,9 918,"№39-RU39301000-030-2015 от 22.08.2019    ",,
"5-этажный 12-квартирный (кирпич) дом ул. Герцена, д. 1 «в»
ООО «Экобалтрегион» ЭКОНОМ",1/12,1 934,"№39-RU39301000-124-2018 от 27.08.2019    ",,
"8-этажный 110-квартирный (кирпич) дом ул. Ростовская, д. 4 (ГП № 2)
ООО «Европейский дом» ЭКОНОМ",1/110,6 701,"№39-RU39301000-344-2016 от 26.08.2019    ",,
"8-этажный 63-квартирный (кирпич) дом ул. Ростовская, д. 6 (ГП № 4)
ООО «Европейский дом» ЭКОНОМ",1/63,4 168,,,
"9-этажный 64-квартирный (кирпич) дом пер. Воздушный, д. 6 (ГП № 1)
ООО «Стройцентр» ЭКОНОМ",1/64,3 645,"№39-RU39301000-283-2016 от 05.09.2019    ",,
"8-этажный 56-квартирный (проч.мат.) дом ул. Красносельская, д. 57 (ГП № 2)
ООО «Стройцентр» ЭКОНОМ",1/56,3 062,,,
"9-этажный 91-квартирный (проч.мат.) дом ул. Ген. Толстикова, д. 17
ООО «КСК-39» ЭКОНОМ",1/91,3 923,"№39-RU39301000-266-2016 от 09.09.2019    ",,
"10-этажный 41-квартирный (проч.мат.) дом ул. Автомобильная, д. 12 «б»
ООО «МТС Инвест» ЭКОНОМ",1/41,1 867,"№39-RU39301000-375-2016 от 10.09.2019    ",,
"5-этажный 12-квартирный (проч.мат.) дом ул. Бородинская, д. 5
ООО «Элит» ЭКОНОМ",1/12,1 342,"№39-RU39301000-214-2017 от 04.09.2019    ",,
"13-этажный 214-квартирный (проч.мат.) дом ул. Герцена, д. 36
ООО «Атлант» ЭКОНОМ",1/214,13 684,"№39-RU39301000-201-2016 от 20.09.2019    ",,
"8-этажный 165-квартирный (проч.мат.) дом ул. Коммунистическая, д. 21
ООО «Глория» ЭКОНОМ",1/165,7 542 ,"№39-RU39301000-221-2017 от 01.10.2019    ",,
"6-этажный 70-квартирный (проч.мат.) дом ул. Карташева, д. 4 «д»
ООО «СЗ «Делорад» ЭКОНОМ",1/70,3 892  ,"№39-RU39301000-236-2017 от 03.10.2019    ",,
"12-этажный 120-квартирный (проч.мат.) дом ул. Юбилейная, д. 12
ООО «Досеан-Строй» ЭКОНОМ",1/120,7 758 ,"№39-RU39301000-137-2017 от 10.10.2019    ",,
"6-этажный 39-квартирный (проч.мат.) дом пр. Мира, д. 83
ООО «ЭЛИТ-СТРОЙ2» ЭКОНОМ",1/39,2 889 ,"№39-RU39301000-315-2013 от 10.10.2019    ",,
"4-этажный 20-квартирный (проч.мат.) дом пер. Лукашова, д. 12 «а» (ГП № 2)
ООО «Петрострой» ЭКОНОМ",1/20,1 196 ,"№39-RU39301000-239-2018 от 14.10.2019    ",,
"3-этажный 9-квартирный (проч.матер.) дом ул. Чукотская, д. 8 «а»
ИП Костырь Д.Н. ЭКОНОМ",1/9,895,"№39-RU39301000-064-2017 от 29.10.2019    ",,
"10-этажный 168-квартирный (проч.мат.) дом ул. Уральская, д. 20
ООО «Центр» ЭКОНОМ",1/168,12 264 ,"№39-RU39301000-282-2016 от 31.10.2019    ",,
"11-этажный 179-квартирный (проч.мат.) дом ул. Н. Карамзина, д. 48 (ГП №5, I эт.)
ООО «Атлант» ЭКОНОМ",1/179,9 089 ,"№39-RU39301000-093-2018 от 05.11.2019    ",,
"11-этажный 173-квартирный (проч.мат.) дом ул. Н. Карамзина, д. 48 (ГП №5, II эт.)
ООО «Атлант» ЭКОНОМ",1/173,8 899 ,"№39-RU39301000-094-2018 от 05.11.2019    ",,
"10-этажный 108-квартирный (железобетон) дом ул. Черниговская, д. 19 «в» (ГП №3)
ООО «КПД-Монтаж» ЭКОНОМ",1/108,5 747,"№39-RU39301000-311-2018 от 11.11.2019    ",,
"10-этажный 78-квартирный (проч.мат.) дом ул. Суздальская, д. 11 «а» (ГП №1)
ООО «Стройкомпект-Импэкс» ЭКОНОМ",1/78,3 878 ,"№39-RU39301000-048-2018 от 13.11.2019    ",,
"10-этажный 198-квартирный (проч.мат.) дом ул. Суздальская, д. 11 (ГП №3)
ООО «Стройкомпект-Импэкс» ЭКОНОМ",1/198,10 354 ,,,
"10-этажный 176-квартирный (кирпич) дом ул. Согласия, №12 по ГП (I этап стр.) ООО «Ремжилстрой-Инвест» ЭКОНОМ",1/176,10507,"№ 39-RU39301000-119-2017 от 02.12.2019    ",,
"6-этажный 104-квартирный (проч.мат.) дом, ул. А. Невского (ГП № 9)
 ООО «Промстрой» (ГК «КСК») ЭКОНОМ",1/104,5092,"№39-RU39301000-216-2017 от 04.12.2019    ",,
"3-этажный 9-квартирный (бетон) дом, пер. Крылова, 1 Б
Филиппенко Е.С. ЭКОНОМ",1/9,532,"№39-RU39301000-125-2019 от 05.12.2019    ",,
"15-этажный 250-квартирный (кирпич) дом ул. Олега Кошевого, д, 30
ООО «Престиж» ЭКОНОМ",1/250,8588,"№39-RU39301000-339-2016 от 05.12.2019    ",,
"10-этажный 196-квартирный (кирпич) дом ул. Согласия, №13 по ГП (II этап стр.), ООО «Ремжилстрой-Инвест» ЭКОНОМ",1/196,11247,"№ 39-RU39301000-120-2017 от 12.12.2019    ",,
"10-этажный 108-квартирный (железобетон) дом ул. Черниговская (ГП № 4, IV эт.), ООО «КПД Монтаж» ЭКОНОМ",1/108,5874,"№ 39-RU39301000-171-2019 от 12.12.2019    ",,
"11-этажный 360-квартирный (крупноблочн.) дом ул. Кипарисовая, д, 4, № 21 по ГП
ООО «Мегаполис-Жилстрой» ЭКОНОМ",1/360,22318,"№39-RU39301000-029-2016 от 18.12.2019    ",,
"10-этажный 202-квартирный (из проч.мат.) дом ул. Суздальская, д, 11 «г», №4 по ГП (II этап строит.) АО «Стройкомплект-импэкс» ЭКОНОМ",1/202,10730,"№39-RU39301000-049-2018 от 19.12.2019    ",,
"10-этажный 148-квартирный (кирпич) дом ул. Суздальская, д, 11 «б», №5 по ГП (III этап строит.) АО «Стройкомплект-импэкс» ЭКОНОМ",1/148,7 664,"№39-RU39301000-050-2018 от 20.12.2019    ",,
"4-этажный 48-квартирный (из проч.матер.) дом ул. Серж. Мишина, д, 68 «б», (№2 по ГП) ООО «СЗ «Интер Инвест» ЭКОНОМ",1/48,2 100,"№39-RU39301000-121-2019 от 20.12.2019    ",,
"7-этажный 117-квартирный (кирпич) дом ул. Старорусская, д, 29
ООО «Регионнефтестрой» ЭКОНОМ",1/117,6 969,"№39-RU39301000-292-2015 от 20.12.2019    ",,
"10-этажный 99-квартирный (из проч. мат.) дом пер. Рассветный, д, 1, (ГП № 3, III эт.), МКП «Управление капитального строительства» ГО «Город Калининград» ЭКОНОМ",1/99,5 017,"№39-RU39301000-062-2018 от 26.12.2019    ",,
"9-этажный 181-квартирный (крупноблоч.) дом ул. Ген. Галицкого, д, 24
ООО «СУ «Западные регионы» ЭКОНОМ",1/181,14 288,"№39-RU39301000-195-2012 от 26.12.2019    ",,
"6-этажный 40-квартирный (кирп.) дом ул. Тенистая аллея 
ООО «Тенистая аллея» ЭКОНОМ",1/40,3 413,"№39-RU39301000-073-2017 от 26.12.2019    ",,
"14-этажный 392-квартирный (из проч. мат.) дом ул. Летняя, д, 72 (ГП № 1, этап 2)
ООО «РИО» ЭКОНОМ",1/392,15781,"№39-RU39301000-348-2016 от 28.12.2019    ",,
Балтийский муниципальный район,2/47,2 700,,,
"3-этажный 11-квартирный (кирпич) дом ул. Лесная, 
ООО «Море» ЭКОНОМ",1/11,582,"№39-RU39513101-077-2016 от 25.01.2019    ",,
"3-этажный 36-квартирный (кирпич) дом ул. Киркенесская
ООО «Море» ЭКОНОМ",1/36,2 118,"№39-RU39513101-44-2016 от 14.08.2019    ",,
Гурьевский городской округ,26/1 265,60 535,,,
"7-этажный 48-квартирный (проч. мат) дом по Рижский бульвар, д.7 (ГП № 2) 
ООО «Первый Квартал» ЭКОНОМ",1/48,1 976,"№39-RU39310000-083-2018 от 14.01.2019    ",,
"7-этажный 96-квартирный (проч. мат) дом по Рижский бульвар, д.9 (ГП № 3) 
ООО «Первый Квартал» ЭКОНОМ",1/96,3 953,,,
"7-этажный 96-квартирный (проч. мат) дом по Рижский бульвар, д.9 «а» (ГП № 4) 
ООО «Первый Квартал» ЭКОНОМ",1/96,4 368,,,
"5-этажный 20-квартирный (проч. мат) дом по ул. Луговая, д.6 «в» 
Зибаровский В.А. ЭКОНОМ",1/20,1 029,"№39-RU39310000-615-2016 от 17.01.2019    ",,
"3-этажный 12-квартирный (блок) дом пос.Б.Исаково, ул.Геологическая, д.17 (ГП № 2)
ООО «Термотех» ЭКОНОМ",1/12,764,"№39-RU39310000-744-2016 от 14.03.2019    ",,
"3-этажный 12-квартирный (блок) дом пос.Б.Исаково, ул.Геологическая, д.15 (ГП № 1)
ООО «Термотех» ЭКОНОМ",1/12,764,"№39-RU39310000-690-2016 от 14.03.2019    ",,
"3-этажный 20-квартирный (проч.матер.) дом пос. Голубево, ул. Лазурная, д. 15 
ООО «БаральтМ» ЭКОНОМ",1/20,1 036,"№39-RU39310000-572-2016 от 20.03.2019    ",,
"12-этажный 240-квартирный (проч.матер.) дом пос. Васильково, 
пер. Калининградский, д. 5 (ГП № 3) ООО «Комфорт» ЭКОНОМ",1/240,11 685,"№39-RU39310000-52-2015 от 21.03.2019    ",,
"5-этажный 135-квартирный (кирпич) дом пер. Байдукова, д. 1 «л»
ООО «Группа компаний «Объединенные системы» ЭКОНОМ",1/135,3 345,"№39-RU39310000-429-2014 от 27.05.2019    ",,
"5-этажный 27-квартирный (блок) дом пос. Большое Исаково, пер. Пионерский, д. 7 (ГП № 2) ООО «Гамма-Строй» ЭКОНОМ",1/27,1 421,"№39-RU39310000-650-2015 от 02.07.2019    ",,
