TRADEDATE,MOEX,RTSI
0,29.12.2018,2369,1065
1,03.01.2019,2376,1087
2,04.01.2019,2406,1118
3,08.01.2019,2390,1123
4,09.01.2019,2414,1136
5,10.01.2019,2434,1142
6,11.01.2019,2444,1149
7,14.01.2019,2440,1147
8,15.01.2019,2440,1148
9,16.01.2019,2435,1153
10,17.01.2019,2448,1157
11,18.01.2019,2474,1176
12,21.01.2019,2468,1171
13,22.01.2019,2469,1170
14,23.01.2019,2491,1187
15,24.01.2019,2483,1188
16,25.01.2019,2498,1192
17,28.01.2019,2477,1179
18,29.01.2019,2498,1191
19,30.01.2019,2512,1199
20,31.01.2019,2521,1214
21,01.02.2019,2522,1211
22,04.02.2019,2524,1211
23,05.02.2019,2547,1223
24,06.02.2019,2540,1216
25,07.02.2019,2510,1200
26,08.02.2019,2503,1200
27,11.02.2019,2510,1201
28,12.02.2019,2533,1215
29,13.02.2019,2486,1191
30,14.02.2019,2461,1156
31,15.02.2019,2490,1178
32,18.02.2019,2472,1177
33,19.02.2019,2459,1174
34,20.02.2019,2488,1194
35,21.02.2019,2470,1189
36,22.02.2019,2489,1198
37,25.02.2019,2495,1202
38,26.02.2019,2494,1193
39,27.02.2019,2491,1191
40,28.02.2019,2485,1188
41,01.03.2019,2478,1187
42,04.03.2019,2474,1186
43,05.03.2019,2466,1180
44,06.03.2019,2494,1192
45,07.03.2019,2477,1180
46,11.03.2019,2466,1177
47,12.03.2019,2468,1183
48,13.03.2019,2471,1189
49,14.03.2019,2458,1182
50,15.03.2019,2477,1197
51,18.03.2019,2484,1213
52,19.03.2019,2493,1220
53,20.03.2019,2504,1226
54,21.03.2019,2508,1238
55,22.03.2019,2493,1213
56,25.03.2019,2498,1228
57,26.03.2019,2513,1230
58,27.03.2019,2487,1207
59,28.03.2019,2492,1207
60,29.03.2019,2497,1198
61,01.04.2019,2521,1214
62,02.04.2019,2528,1216
63,03.04.2019,2532,1224
64,04.04.2019,2536,1220
65,05.04.2019,2541,1226
66,08.04.2019,2560,1240
67,09.04.2019,2570,1248
68,10.04.2019,2579,1262
69,11.04.2019,2551,1245
70,12.04.2019,2560,1253
71,15.04.2019,2545,1247
72,16.04.2019,2560,1255
73,17.04.2019,2568,1266
74,18.04.2019,2561,1262
75,19.04.2019,2564,1261
76,22.04.2019,2585,1276
77,23.04.2019,2587,1278
78,24.04.2019,2579,1264
79,25.04.2019,2561,1246
80,26.04.2019,2564,1247
81,29.04.2019,2570,1255
82,30.04.2019,2559,1248
83,02.05.2019,2575,1238
84,03.05.2019,2581,1248
85,06.05.2019,2580,1246
86,07.05.2019,2565,1238
87,08.05.2019,2544,1233
88,10.05.2019,2515,1214
89,13.05.2019,2509,1208
90,14.05.2019,2562,1242
91,15.05.2019,2554,1247
92,16.05.2019,2581,1261
93,17.05.2019,2577,1255
94,20.05.2019,2572,1256
95,21.05.2019,2617,1279
96,22.05.2019,2639,1293
97,23.05.2019,2619,1275
98,24.05.2019,2619,1279
99,27.05.2019,2633,1288
100,28.05.2019,2610,1271
101,29.05.2019,2641,1276
102,30.05.2019,2660,1287
103,31.05.2019,2665,1287
104,03.06.2019,2730,1315
105,04.06.2019,2706,1308
106,05.06.2019,2702,1303
107,06.06.2019,2728,1320
108,07.06.2019,2730,1326
109,10.06.2019,2743,1336
110,11.06.2019,2752,1343
111,13.06.2019,2758,1347
112,14.06.2019,2739,1341
113,17.06.2019,2734,1341
114,18.06.2019,2762,1359
115,19.06.2019,2759,1361
116,20.06.2019,2780,1391
117,21.06.2019,2761,1375
118,24.06.2019,2763,1387
119,25.06.2019,2754,1381
120,26.06.2019,2775,1387
121,27.06.2019,2780,1388
122,28.06.2019,2766,1381
123,01.07.2019,2801,1402
124,02.07.2019,2810,1398
125,03.07.2019,2824,1402
126,04.07.2019,2843,1412
127,05.07.2019,2835,1399
128,08.07.2019,2823,1400
129,09.07.2019,2823,1395
130,10.07.2019,2823,1408
131,11.07.2019,2790,1399
132,12.07.2019,2778,1388
133,15.07.2019,2756,1387
134,16.07.2019,2756,1382
135,17.07.2019,2713,1362
136,18.07.2019,2703,1350
137,19.07.2019,2701,1351
138,22.07.2019,2684,1341
139,23.07.2019,2701,1345
140,24.07.2019,2683,1340
141,25.07.2019,2701,1347
142,26.07.2019,2716,1348
143,29.07.2019,2728,1354
144,30.07.2019,2735,1353
145,31.07.2019,2740,1360
146,01.08.2019,2729,1346
147,02.08.2019,2675,1293
148,05.08.2019,2649,1282
149,06.08.2019,2683,1294
150,07.08.2019,2675,1285
151,08.08.2019,2697,1304
152,09.08.2019,2680,1289
153,12.08.2019,2690,1294
154,13.08.2019,2680,1298
155,14.08.2019,2637,1260
156,15.08.2019,2626,1250
157,16.08.2019,2615,1240
158,19.08.2019,2648,1248
159,20.08.2019,2673,1265
160,21.08.2019,2674,1280
161,22.08.2019,2675,1283
162,23.08.2019,2661,1268
163,26.08.2019,2658,1268
164,27.08.2019,2659,1259
165,28.08.2019,2677,1267
166,29.08.2019,2714,1285
167,30.08.2019,2740,1293
168,02.09.2019,2773,1309
169,03.09.2019,2774,1303
170,04.09.2019,2793,1331
171,05.09.2019,2807,1338
172,06.09.2019,2798,1341
173,09.09.2019,2787,1340
174,10.09.2019,2788,1344
175,11.09.2019,2817,1355
176,12.09.2019,2800,1361
177,13.09.2019,2792,1369
178,16.09.2019,2834,1396
179,17.09.2019,2821,1382
180,18.09.2019,2819,1382
181,19.09.2019,2795,1378
182,20.09.2019,2796,1377
183,23.09.2019,2785,1373
184,24.09.2019,2755,1359
185,25.09.2019,2760,1354
186,26.09.2019,2773,1360
187,27.09.2019,2758,1348
188,30.09.2019,2747,1334
189,01.10.2019,2759,1329
190,02.10.2019,2719,1314
191,03.10.2019,2707,1307
192,04.10.2019,2693,1312
193,07.10.2019,2719,1320
194,08.10.2019,2708,1306
195,09.10.2019,2713,1317
196,10.10.2019,2722,1331
197,11.10.2019,2708,1330
198,14.10.2019,2697,1321
199,15.10.2019,2715,1331
200,16.10.2019,2744,1347
201,17.10.2019,2749,1353
202,18.10.2019,2753,1355
203,21.10.2019,2761,1365
204,22.10.2019,2802,1388
205,23.10.2019,2822,1392
206,24.10.2019,2877,1414
207,25.10.2019,2873,1421
208,28.10.2019,2857,1412
209,29.10.2019,2886,1424
210,30.10.2019,2911,1432
211,31.10.2019,2894,1423
212,01.11.2019,2930,1455
213,05.11.2019,2950,1460
