date,time,target,temp,temp_pred,weather_pred,weather_fact
2019-01-01,0,481.51,2.9,2.0,"пасм, ветер",ветер
2019-01-01,1,462.872,2.9,2.0,"пасм, ветер",ветер
2019-01-01,2,449.718,2.9,2.0,"пасм, ветер",ветер
2019-01-01,3,430.908,4.3,2.0,"пасм, ветер","ветер, пасм"
2019-01-01,4,415.163,4.3,2.0,"пасм, ветер","ветер, пасм"
2019-01-01,5,403.195,4.3,2.0,"пасм, ветер","ветер, пасм"
2019-01-01,6,398.173,5.3,3.0,"пасм, ветер","ветер, пасм,дождь"
2019-01-01,7,402.689,5.3,3.0,"пасм, ветер","ветер, пасм,дождь"
2019-01-01,8,407.094,5.3,3.0,"пасм, ветер","ветер, пасм,дождь"
2019-01-01,9,414.565,6.0,5.0,"пасм, 80% дождь","ветер, пасм,дождь"
2019-01-01,10,420.905,6.0,5.0,"пасм, 80% дождь","ветер, пасм,дождь"
2019-01-01,11,447.558,6.0,5.0,"пасм, 80% дождь","ветер, пасм,дождь"
2019-01-01,12,469.802,6.1,6.0,"пасм, 80% дождь","ветер, пасм,дождь"
2019-01-01,13,480.681,6.1,6.0,"пасм, 80% дождь","ветер, пасм,дождь"
2019-01-01,14,481.156,6.1,6.0,"пасм, 80% дождь","ветер, пасм,дождь"
2019-01-01,15,480.863,4.8,6.0,"пасм, 80% дождь","ветер, пасм,дождь"
2019-01-01,16,482.463,4.8,6.0,"пасм, 80% дождь","ветер, пасм,дождь"
2019-01-01,17,502.226,4.8,6.0,"пасм, 80% дождь","ветер, пасм,дождь"
2019-01-01,18,524.691,5.2,6.0,"пасм, 80% дождь","ветер, ливень"
2019-01-01,19,525.338,5.2,6.0,"пасм, 80% дождь","ветер, ливень"
2019-01-01,20,522.61,5.2,6.0,"пасм, 80% дождь","ветер, ливень"
2019-01-01,21,517.606,4.4,5.0,"пасм, 80% дождь","ветер, ливень"
2019-01-01,22,512.28,4.4,5.0,"пасм, 80% дождь","ветер, ливень"
2019-01-01,23,492.8,4.4,5.0,"пасм, 80% дождь","ветер, ливень"
2019-01-02,0,465.381,3.2,4.0,"пасм, ветер, 76% дождь","пасм, ветер, дождь"
2019-01-02,1,437.692,3.2,4.0,"пасм, ветер, 76% дождь","пасм, ветер, дождь"
2019-01-02,2,416.416,3.2,4.0,"пасм, ветер, 76% дождь","пасм, ветер, дождь"
2019-01-02,3,401.808,2.5,3.0,"пасм, ветер, 76% дождь","пасм, ветер, дождь"
2019-01-02,4,394.554,2.5,3.0,"пасм, ветер, 76% дождь","пасм, ветер, дождь"
2019-01-02,5,391.375,2.5,3.0,"пасм, ветер, 76% дождь","пасм, ветер, дождь"
2019-01-02,6,392.51,1.7,2.0,"пасм, ветер","пасм, ветер"
2019-01-02,7,405.998,1.7,2.0,"пасм, ветер","пасм, ветер"
2019-01-02,8,424.891,1.7,2.0,"пасм, ветер","пасм, ветер"
